time_point,aqi,pm2_5,pm10,so2,no2,co,o3,rank,quality
2022-09-01,66,9,29,3,17,0.3,119,50,良
2022-09-02,86,18,47,2,21,0.4,143,259,良
2022-09-03,85,31,59,2,24,0.5,141,257,良
2022-09-04,95,33,51,3,16,0.5,154,273,良
2022-09-05,40,5,14,3,14,0.2,80,40,优
2022-09-06,36,6,23,2,20,0.2,72,59,优
2022-09-07,58,9,29,2,23,0.3,109,60,良
2022-09-08,111,19,50,2,30,0.4,172,144,轻度污染
2022-09-09,157,35,74,2,28,0.6,222,243,中度污染
2022-09-10,157,44,76,3,19,0.8,222,317,中度污染
2022-09-11,100,29,51,2,14,0.6,160,96,良
2022-09-12,120,49,80,2,21,0.7,181,257,轻度污染
2022-09-13,106,56,85,3,22,0.8,166,318,轻度污染
2022-09-14,71,34,54,2,17,0.6,125,322,良
2022-09-15,85,21,48,2,17,0.6,141,197,良
2022-09-16,99,25,52,2,21,0.5,158,249,良
2022-09-17,123,39,79,3,27,0.7,185,242,轻度污染
2022-09-18,43,9,28,3,19,0.3,85,293,优
2022-09-19,37,5,24,3,18,0.2,73,117,优
2022-09-20,41,6,25,3,16,0.2,81,50,优
2022-09-21,75,18,53,2,28,0.4,130,175,良
2022-09-22,47,17,47,3,15,0.3,78,293,优
2022-09-23,33,4,22,3,12,0.2,66,90,优
2022-09-24,49,15,46,2,29,0.3,98,121,优
2022-09-25,100,45,104,3,39,0.6,159,279,良
2022-09-26,147,57,113,4,40,0.8,211,316,轻度污染
2022-09-27,145,59,113,3,39,0.8,209,293,轻度污染
2022-09-28,133,59,114,3,38,0.8,196,285,轻度污染
2022-09-29,150,65,124,3,38,0.8,215,316,轻度污染
2022-09-30,146,81,142,3,42,0.9,210,332,轻度污染
