time_point,aqi,pm2_5,pm10,so2,no2,co,o3,rank,quality
2020-05-01,204,108,132,7,42,1.1,283,318,重度污染
2020-05-02,133,55,81,4,20,0.6,196,259,轻度污染
2020-05-03,80,59,65,5,26,1.2,98,150,良
2020-05-04,50,34,50,4,26,0.7,54,283,优
2020-05-05,67,48,50,2,29,0.6,89,175,良
2020-05-06,122,71,63,4,29,0.7,184,320,轻度污染
2020-05-07,100,75,69,8,35,1.3,91,148,良
2020-05-08,55,39,20,2,18,1.0,89,325,良
2020-05-09,49,34,30,3,26,0.6,61,155,优
2020-05-10,55,19,60,2,17,0.4,84,239,良
2020-05-11,88,18,126,3,9,0.2,91,12,良
2020-05-12,87,18,123,2,14,0.2,104,323,良
2020-05-13,118,41,186,4,33,0.5,169,302,轻度污染
2020-05-14,116,35,89,4,25,0.5,177,324,轻度污染
2020-05-15,57,40,53,2,21,0.6,104,202,良
2020-05-16,58,41,59,2,25,0.6,72,182,良
2020-05-17,66,17,81,2,29,0.3,71,106,良
2020-05-18,48,10,48,2,13,0.2,85,32,优
2020-05-19,90,14,52,2,25,0.3,148,198,良
2020-05-20,130,21,46,3,20,0.4,192,42,轻度污染
2020-05-21,94,70,65,5,26,1.3,131,288,良
2020-05-22,78,42,35,2,19,0.8,133,327,良
2020-05-23,43,5,13,3,12,0.3,85,21,优
2020-05-24,63,8,20,2,19,0.3,115,14,良
2020-05-25,36,10,26,3,28,0.3,71,167,优
2020-05-26,61,9,18,2,17,0.2,113,99,良
2020-05-27,49,9,22,2,13,0.3,98,63,优
2020-05-28,131,37,62,5,32,0.7,194,164,轻度污染
2020-05-29,145,59,82,10,29,1.3,209,257,轻度污染
2020-05-30,112,53,73,5,22,0.9,173,322,轻度污染
2020-05-31,44,11,14,3,16,0.3,88,79,优
