time_point,aqi,pm2_5,pm10,so2,no2,co,o3,rank,quality
2018-08-01,149,52,77,3,25,1.0,213,285,轻度污染
2018-08-02,135,74,90,3,23,1.3,198,322,轻度污染
2018-08-03,120,47,69,2,25,0.9,182,308,轻度污染
2018-08-04,152,56,86,3,27,1.0,217,280,中度污染
2018-08-05,73,30,48,3,19,0.7,127,318,良
2018-08-06,46,32,44,4,28,1.2,56,79,优
2018-08-07,78,55,54,3,24,1.1,133,321,良
2018-08-08,38,20,21,3,20,0.8,75,304,优
2018-08-09,95,26,30,2,26,0.9,154,49,良
2018-08-10,135,32,42,2,26,0.8,198,152,轻度污染
2018-08-11,76,41,43,3,22,1.0,131,181,良
2018-08-12,68,49,39,2,21,1.0,95,256,良
2018-08-13,76,41,37,2,20,0.9,131,204,良
2018-08-14,35,23,29,2,19,0.7,70,265,优
2018-08-15,45,13,25,2,24,0.5,89,97,优
2018-08-16,81,12,27,2,23,0.3,137,130,良
2018-08-17,137,28,57,2,36,0.6,200,230,轻度污染
2018-08-18,45,13,20,3,22,0.4,90,286,优
2018-08-19,38,18,31,3,28,0.6,75,97,优
2018-08-20,78,21,32,2,22,0.7,133,84,良
2018-08-21,51,11,27,2,25,0.4,101,177,良
2018-08-22,54,17,47,2,43,0.6,60,183,良
2018-08-23,68,15,36,2,31,0.5,121,208,良
2018-08-24,54,11,31,2,29,0.4,104,152,良
2018-08-25,121,27,60,3,29,0.6,183,102,轻度污染
2018-08-26,125,53,82,3,28,0.8,187,299,轻度污染
2018-08-27,124,56,79,5,30,1.0,186,311,轻度污染
2018-08-28,92,53,67,3,32,0.9,150,213,良
2018-08-29,53,8,21,2,22,0.4,103,280,良
2018-08-30,39,14,34,3,30,0.6,77,165,优
2018-08-31,86,13,28,3,26,0.5,143,351,良
