time_point,aqi,pm2_5,pm10,so2,no2,co,o3,rank,quality
2018-11-01,80,51,77,6,64,0.9,58,272,良
2018-11-02,152,116,126,8,96,1.5,31,362,中度污染
2018-11-03,211,161,148,8,89,1.7,81,364,重度污染
2018-11-04,102,76,69,3,48,0.8,23,338,轻度污染
2018-11-05,47,20,27,2,37,0.5,30,139,优
2018-11-06,50,14,31,3,40,0.5,40,234,优
2018-11-07,65,28,55,4,52,0.7,16,302,良
2018-11-08,94,70,101,6,73,1.2,14,344,良
2018-11-09,54,31,58,3,41,0.6,61,154,良
2018-11-10,50,13,38,3,40,0.4,37,92,优
2018-11-11,72,46,80,5,57,0.7,49,246,良
2018-11-12,132,100,119,7,75,1.2,33,333,轻度污染
2018-11-13,230,180,159,6,78,1.7,33,366,重度污染
2018-11-14,270,220,164,4,75,2.2,37,367,重度污染
2018-11-15,84,62,57,3,32,0.8,52,281,良
2018-11-16,39,14,28,3,31,0.4,52,144,优
2018-11-17,78,44,76,7,62,0.8,24,336,良
2018-11-18,64,30,77,5,42,0.7,63,250,良
2018-11-19,83,47,92,10,66,1.1,17,286,良
2018-11-20,69,40,87,6,54,0.8,50,231,良
2018-11-21,49,21,49,4,35,0.5,55,155,优
2018-11-22,68,28,64,6,54,0.7,37,202,良
2018-11-23,93,69,98,13,66,1.4,13,279,良
2018-11-24,123,93,106,9,63,1.2,46,291,轻度污染
2018-11-25,119,90,112,8,73,1.4,24,245,轻度污染
2018-11-26,266,216,231,11,105,2.4,15,324,重度污染
2018-11-27,163,50,275,3,31,0.5,61,266,中度污染
2018-11-28,116,56,181,15,68,1.3,12,225,轻度污染
2018-11-29,101,58,152,14,65,1.6,17,223,轻度污染
2018-11-30,123,93,184,12,83,1.9,16,240,轻度污染
