time_point,aqi,pm2_5,pm10,so2,no2,co,o3,rank,quality
2019-11-01,64,25,68,6,51,0.8,36,155,良
2019-11-02,64,29,49,2,51,0.7,13,93,良
2019-11-03,48,33,48,3,34,0.6,33,98,优
2019-11-04,67,48,57,2,44,0.8,34,103,良
2019-11-05,59,42,57,3,41,0.8,40,267,良
2019-11-06,73,46,71,2,58,0.7,19,73,良
2019-11-07,47,24,47,3,37,0.5,44,244,优
2019-11-08,70,39,73,3,56,0.8,26,175,良
2019-11-09,112,84,94,3,67,1.0,21,175,轻度污染
2019-11-10,67,31,84,2,23,0.4,60,310,良
2019-11-11,54,17,53,2,43,0.5,51,48,良
2019-11-12,92,50,92,6,73,0.9,18,145,良
2019-11-13,55,9,59,3,14,0.2,63,102,良
2019-11-14,62,25,57,5,49,0.6,22,85,良
2019-11-15,64,35,78,6,51,0.9,17,158,良
2019-11-16,65,47,80,9,52,1.3,13,101,良
2019-11-17,119,52,188,5,34,0.8,54,162,轻度污染
2019-11-18,74,19,98,2,20,0.3,53,290,良
2019-11-19,56,20,62,2,32,0.4,49,203,良
2019-11-20,87,61,124,8,69,0.9,15,195,良
2019-11-21,119,90,158,9,78,1.6,6,283,轻度污染
2019-11-22,183,138,181,9,94,2.4,5,304,中度污染
2019-11-23,175,132,137,6,69,1.6,34,307,中度污染
2019-11-24,30,7,30,3,11,0.2,58,65,优
2019-11-25,40,13,30,3,32,0.4,29,1,优
2019-11-26,73,38,72,6,58,0.8,14,228,良
2019-11-27,34,7,21,3,27,0.3,55,162,优
2019-11-28,75,39,69,11,60,1.0,17,122,良
2019-11-29,80,58,74,7,64,1.0,7,221,良
2019-11-30,72,52,39,3,35,0.7,59,270,良
