time_point,aqi,pm2_5,pm10,so2,no2,co,o3,rank,quality
2021-05-01,41,9,29,2,16,0.3,81,52,优
2021-05-02,55,13,45,2,18,0.3,106,47,良
2021-05-03,86,36,79,4,24,0.5,143,243,良
2021-05-04,58,13,66,3,10,0.2,97,250,良
2021-05-05,75,26,99,3,19,0.3,121,247,良
2021-05-06,253,0,0,4,17,0.3,101,242,重度污染
2021-05-07,135,0,0,2,9,0.3,100,323,轻度污染
2021-05-08,85,0,0,3,17,0.2,93,304,良
2021-05-09,73,20,56,3,30,0.4,127,145,良
2021-05-10,77,21,57,3,27,0.5,132,178,良
2021-05-11,95,23,48,3,24,0.6,154,171,良
2021-05-12,79,15,50,2,28,0.4,134,127,良
2021-05-13,65,42,72,4,31,0.9,117,260,良
2021-05-14,63,40,75,2,28,1.1,109,298,良
2021-05-15,38,11,30,3,15,0.4,75,285,优
2021-05-16,47,4,23,2,18,0.3,93,44,优
2021-05-17,67,12,45,2,31,0.3,120,260,良
2021-05-18,82,20,65,2,35,0.4,138,257,良
2021-05-19,139,31,78,4,26,0.5,202,130,轻度污染
2021-05-20,105,37,74,2,21,0.5,165,266,轻度污染
2021-05-21,132,36,71,2,21,0.6,195,304,轻度污染
2021-05-22,143,32,85,3,22,0.6,207,112,轻度污染
2021-05-23,122,0,0,2,10,0.2,80,292,轻度污染
2021-05-24,54,13,58,2,15,0.2,81,260,良
2021-05-25,82,19,86,3,18,0.3,138,148,良
2021-05-26,55,15,60,3,23,0.4,104,260,良
2021-05-27,43,11,40,2,23,0.3,86,145,优
2021-05-28,49,4,19,3,12,0.2,97,68,优
2021-05-29,75,8,32,2,14,0.3,130,165,良
2021-05-30,102,17,40,2,19,0.4,162,146,轻度污染
2021-05-31,41,25,41,2,23,0.8,82,165,优
