time_point,aqi,pm2_5,pm10,so2,no2,co,o3,rank,quality
2020-03-01,38,21,21,2,19,0.8,76,256,优
2020-03-02,36,25,27,3,28,0.5,66,38,优
2020-03-03,39,14,21,2,9,0.3,78,270,优
2020-03-04,38,11,16,2,10,0.2,76,48,优
2020-03-05,54,38,48,4,28,0.5,82,107,良
2020-03-06,113,85,79,4,40,0.8,67,271,轻度污染
2020-03-07,87,64,45,3,20,0.7,89,313,良
2020-03-08,128,97,61,3,29,1.0,44,323,轻度污染
2020-03-09,70,51,32,2,24,0.7,69,281,良
2020-03-10,39,10,30,2,15,0.3,77,118,优
2020-03-11,55,29,51,4,44,0.5,60,7,良
2020-03-12,41,18,37,3,22,0.4,81,197,优
2020-03-13,40,11,23,3,14,0.3,79,27,优
2020-03-14,43,8,37,2,12,0.3,86,172,优
2020-03-15,45,7,33,2,11,0.2,90,52,优
2020-03-16,61,26,71,3,23,0.4,77,168,良
2020-03-17,56,30,61,3,33,0.5,97,186,良
2020-03-18,89,36,127,4,34,0.4,85,208,良
2020-03-19,46,8,46,2,10,0.2,89,72,优
2020-03-20,60,29,70,4,37,0.4,77,134,良
2020-03-21,72,27,94,8,22,0.5,93,50,良
2020-03-22,62,30,74,4,26,0.4,113,212,良
2020-03-23,53,28,55,4,31,0.5,91,216,良
2020-03-24,70,51,68,12,38,0.9,98,58,良
2020-03-25,153,117,111,11,53,1.0,131,320,中度污染
2020-03-26,39,8,24,3,9,0.2,77,272,优
2020-03-27,40,5,21,2,9,0.2,79,96,优
2020-03-28,39,10,28,2,17,0.2,77,59,优
2020-03-29,63,45,72,7,38,0.5,97,214,良
2020-03-30,92,68,87,7,37,0.7,103,317,良
2020-03-31,87,64,75,4,28,0.5,108,284,良
