time_point,aqi,pm2_5,pm10,so2,no2,co,o3,rank,quality
2022-11-01,34,10,28,2,27,0.3,50,2,优
2022-11-02,59,33,68,3,35,0.5,53,158,良
2022-11-03,45,23,45,3,21,0.4,48,234,优
2022-11-04,31,14,30,2,20,0.2,61,10,优
2022-11-05,54,30,58,2,36,0.4,52,231,良
2022-11-06,109,82,127,3,53,0.7,39,255,轻度污染
2022-11-07,46,28,46,2,31,0.4,63,324,优
2022-11-08,61,37,71,2,44,0.5,50,70,良
2022-11-09,103,77,116,3,52,0.7,43,233,轻度污染
2022-11-10,119,90,113,2,32,0.8,83,272,轻度污染
2022-11-11,128,97,121,2,38,1.5,18,313,轻度污染
2022-11-12,29,3,9,3,10,0.3,57,74,优
2022-11-13,24,8,15,3,19,0.2,48,12,优
2022-11-14,53,28,56,2,40,0.5,25,135,良
2022-11-15,40,18,37,2,32,0.4,59,211,优
2022-11-16,49,20,46,3,39,0.4,38,43,优
2022-11-17,83,61,100,3,49,0.7,33,186,良
2022-11-18,110,83,124,4,49,1.0,29,289,轻度污染
2022-11-19,130,99,144,3,45,1.0,52,301,轻度污染
2022-11-20,148,113,169,2,44,1.0,14,324,轻度污染
2022-11-21,57,36,63,3,28,0.5,51,313,良
2022-11-22,62,41,73,3,39,0.6,37,221,良
2022-11-23,97,72,107,2,41,0.7,39,281,良
2022-11-24,156,119,165,2,50,1.0,16,309,中度污染
2022-11-25,72,52,88,2,23,0.5,67,335,良
2022-11-26,28,6,23,2,14,0.2,56,32,优
2022-11-27,41,19,41,3,28,0.4,43,126,优
2022-11-28,76,31,101,3,19,0.3,55,198,良
2022-11-29,40,8,40,2,3,0.2,52,251,优
2022-11-30,31,9,31,2,8,0.2,54,126,优
