time_point,aqi,pm2_5,pm10,so2,no2,co,o3,rank,quality
2018-07-01,107,44,49,4,24,0.9,167,315,轻度污染
2018-07-02,96,39,49,3,21,0.7,155,328,良
2018-07-03,109,49,46,3,22,0.7,169,332,轻度污染
2018-07-04,152,52,69,3,29,0.8,217,360,中度污染
2018-07-05,156,61,92,3,33,1.0,221,351,中度污染
2018-07-06,150,32,50,3,23,0.8,215,354,轻度污染
2018-07-07,65,47,45,3,25,0.8,46,282,良
2018-07-08,98,48,37,3,21,0.8,157,350,良
2018-07-09,93,69,62,3,27,0.8,75,350,良
2018-07-10,46,30,31,3,20,0.6,92,183,优
2018-07-11,40,27,25,3,32,0.6,62,116,优
2018-07-12,43,30,24,3,29,0.6,71,164,优
2018-07-13,55,39,42,3,35,0.8,98,233,良
2018-07-14,99,46,39,3,21,0.7,158,340,良
2018-07-15,103,53,51,3,26,0.8,163,343,轻度污染
2018-07-16,33,23,30,3,24,0.7,62,86,优
2018-07-17,32,18,12,3,25,0.6,57,49,优
2018-07-18,99,74,59,3,25,1.2,106,339,良
2018-07-19,84,62,50,3,29,0.8,117,298,良
2018-07-20,95,71,66,3,20,0.9,154,309,良
2018-07-21,116,61,68,3,19,0.8,177,336,轻度污染
2018-07-22,55,39,41,3,25,0.7,96,268,良
2018-07-23,89,46,53,3,23,0.8,146,107,良
2018-07-24,28,14,18,3,17,0.5,55,107,优
2018-07-25,48,9,15,3,16,0.4,96,45,优
2018-07-26,85,10,28,3,23,0.5,141,65,良
2018-07-27,83,43,50,3,21,1.0,139,271,良
2018-07-28,114,49,55,3,19,1.0,175,328,轻度污染
2018-07-29,130,65,78,3,24,1.1,192,320,轻度污染
2018-07-30,126,64,74,3,26,1.0,188,329,轻度污染
2018-07-31,145,56,73,3,28,1.0,209,310,轻度污染
