time_point,aqi,pm2_5,pm10,so2,no2,co,o3,rank,quality
2021-09-01,93,16,37,2,23,0.5,151,156,良
2021-09-02,95,21,44,2,21,0.5,153,226,良
2021-09-03,107,28,55,3,20,0.7,167,177,轻度污染
2021-09-04,48,20,31,2,16,0.8,96,313,优
2021-09-05,44,14,23,3,14,0.5,87,46,优
2021-09-06,33,5,10,3,12,0.4,65,55,优
2021-09-07,70,11,27,2,17,0.5,123,119,良
2021-09-08,90,19,38,2,18,0.6,147,148,良
2021-09-09,64,32,50,2,23,0.7,116,85,良
2021-09-10,107,32,57,2,21,0.8,167,233,轻度污染
2021-09-11,108,42,72,3,23,0.9,168,295,轻度污染
2021-09-12,51,28,52,2,21,0.9,68,269,良
2021-09-13,48,17,32,3,19,0.8,96,221,优
2021-09-14,37,20,37,3,20,0.8,67,161,优
2021-09-15,46,19,46,3,27,0.7,86,185,优
2021-09-16,31,15,31,2,24,0.7,45,210,优
2021-09-17,46,9,24,3,20,0.4,91,100,优
2021-09-18,46,19,46,3,28,0.5,78,184,优
2021-09-19,31,20,28,3,19,0.6,62,275,优
2021-09-20,37,4,11,3,12,0.5,74,132,优
2021-09-21,43,4,13,2,15,0.4,85,19,优
2021-09-22,54,9,28,2,21,0.4,104,34,良
2021-09-23,78,21,49,3,29,0.7,133,184,良
2021-09-24,31,15,19,2,18,0.9,61,233,优
2021-09-25,42,13,24,3,17,0.6,83,31,优
2021-09-26,25,12,20,3,20,0.6,47,146,优
2021-09-27,45,11,26,3,20,0.5,90,10,优
2021-09-28,51,23,51,3,28,0.6,87,200,良
2021-09-29,47,18,47,2,27,0.6,88,245,优
2021-09-30,54,30,58,2,24,0.8,71,287,良
