time_point,aqi,pm2_5,pm10,so2,no2,co,o3,rank,quality
2020-02-01,36,9,16,2,10,0.3,72,9,优
2020-02-02,45,31,32,2,11,0.4,68,128,优
2020-02-03,34,18,28,2,14,0.4,67,12,优
2020-02-04,34,10,18,2,12,0.3,67,145,优
2020-02-05,38,26,33,3,18,0.6,48,18,优
2020-02-06,62,44,38,4,25,1.0,39,48,良
2020-02-07,97,72,52,4,35,1.1,50,272,良
2020-02-08,82,60,50,4,30,0.8,70,288,良
2020-02-09,160,122,109,4,43,1.4,60,275,中度污染
2020-02-10,163,124,103,4,50,1.4,77,316,中度污染
2020-02-11,232,182,141,8,56,2.3,97,321,重度污染
2020-02-12,257,207,145,5,48,2.3,113,332,重度污染
2020-02-13,247,197,142,3,47,2.1,57,331,重度污染
2020-02-14,69,50,39,2,17,0.9,59,327,良
2020-02-15,35,6,11,2,5,0.2,69,45,优
2020-02-16,37,3,8,2,5,0.2,73,90,优
2020-02-17,36,7,14,2,13,0.3,72,51,优
2020-02-18,42,17,23,3,33,0.5,63,44,优
2020-02-19,79,58,51,10,38,1.2,68,89,良
2020-02-20,143,109,76,7,30,1.4,66,308,轻度污染
2020-02-21,100,75,95,3,21,0.8,75,310,良
2020-02-22,40,8,16,3,11,0.2,79,30,优
2020-02-23,58,41,51,5,38,0.6,58,11,良
2020-02-24,83,61,86,8,38,1.0,52,228,良
2020-02-25,70,51,75,10,26,0.9,68,135,良
2020-02-26,53,37,47,5,22,0.6,79,79,良
2020-02-27,40,28,32,4,24,0.5,56,155,优
2020-02-28,88,65,63,3,29,0.7,74,190,良
2020-02-29,114,86,57,2,32,1.2,26,327,轻度污染
