time_point,aqi,pm2_5,pm10,so2,no2,co,o3,rank,quality
2020-07-01,146,24,53,3,26,0.5,210,211,轻度污染
2020-07-02,97,28,33,3,15,0.7,156,180,良
2020-07-03,69,50,38,3,17,0.9,119,274,良
2020-07-04,109,44,42,3,20,0.6,169,302,轻度污染
2020-07-05,90,22,30,3,20,0.5,148,202,良
2020-07-06,110,17,28,3,17,0.4,171,128,轻度污染
2020-07-07,75,14,27,3,19,0.4,130,72,良
2020-07-08,129,31,49,4,22,0.7,191,302,轻度污染
2020-07-09,50,29,29,3,15,0.6,100,265,优
2020-07-10,65,47,41,2,19,0.7,107,227,良
2020-07-11,113,85,60,2,23,1.1,90,320,轻度污染
2020-07-12,113,85,57,3,22,1.2,128,331,轻度污染
2020-07-13,81,49,50,2,22,0.9,137,324,良
2020-07-14,94,32,44,3,19,0.6,152,234,良
2020-07-15,109,30,44,2,19,0.5,169,290,轻度污染
2020-07-16,127,48,73,2,21,0.7,189,261,轻度污染
2020-07-17,71,48,59,2,19,0.6,125,287,良
2020-07-18,59,42,33,3,16,0.6,108,296,良
2020-07-19,48,27,27,3,16,0.5,96,293,优
2020-07-20,152,35,59,3,26,0.6,217,220,中度污染
2020-07-21,116,34,62,2,20,0.5,177,299,轻度污染
2020-07-22,139,42,59,4,23,0.7,202,287,轻度污染
2020-07-23,120,30,52,3,28,0.6,181,255,轻度污染
2020-07-24,112,24,44,2,25,0.5,173,236,轻度污染
2020-07-25,125,27,64,2,35,0.6,187,236,轻度污染
2020-07-26,57,24,35,3,16,0.5,108,300,良
2020-07-27,78,57,38,3,19,0.8,92,271,良
2020-07-28,95,71,44,3,19,0.9,131,329,良
2020-07-29,108,57,53,3,18,0.9,168,290,轻度污染
2020-07-30,101,71,68,3,22,0.8,161,328,轻度污染
2020-07-31,96,42,54,3,22,0.7,155,298,良
