time_point,aqi,pm2_5,pm10,so2,no2,co,o3,rank,quality
2020-08-01,67,33,33,3,23,0.7,120,213,良
2020-08-02,110,16,32,3,20,0.5,170,178,轻度污染
2020-08-03,92,17,36,2,23,0.5,150,138,良
2020-08-04,81,14,36,3,27,0.4,137,298,良
2020-08-05,52,32,53,3,31,0.7,87,288,良
2020-08-06,98,30,42,2,21,0.8,157,259,良
2020-08-07,92,23,31,3,18,0.7,150,229,良
2020-08-08,100,22,40,2,18,0.6,159,265,良
2020-08-09,110,17,31,2,15,0.4,170,232,轻度污染
2020-08-10,98,15,28,2,15,0.4,157,146,良
2020-08-11,135,30,54,3,20,0.6,198,277,轻度污染
2020-08-12,60,33,46,3,20,0.7,111,289,良
2020-08-13,68,13,19,3,14,0.6,121,140,良
2020-08-14,118,28,45,3,22,0.6,179,285,轻度污染
2020-08-15,50,32,45,3,23,0.6,99,307,优
2020-08-16,55,39,37,3,20,0.6,93,259,良
2020-08-17,67,48,40,3,20,0.8,80,310,良
2020-08-18,42,29,26,3,21,0.6,62,327,优
2020-08-19,28,11,23,2,22,0.4,55,35,优
2020-08-20,38,19,30,2,23,0.5,75,217,优
2020-08-21,85,23,45,2,25,0.6,141,227,良
2020-08-22,95,36,58,2,25,0.7,153,274,良
2020-08-23,97,57,71,2,24,0.8,156,260,良
2020-08-24,62,9,19,3,15,0.4,114,310,良
2020-08-25,107,17,43,2,29,0.5,167,157,轻度污染
2020-08-26,108,61,79,5,31,1.6,168,213,轻度污染
2020-08-27,62,43,50,2,25,1.0,114,330,良
2020-08-28,94,17,40,2,24,0.5,152,116,良
2020-08-29,97,49,74,3,31,0.8,156,209,良
2020-08-30,87,52,55,3,21,0.9,144,314,良
2020-08-31,27,15,24,3,21,0.5,52,174,优
