time_point,aqi,pm2_5,pm10,so2,no2,co,o3,rank,quality
2021-02-01,51,17,51,2,11,0.4,67,283,良
2021-02-02,38,14,38,3,19,0.4,58,38,优
2021-02-03,49,17,49,3,23,0.5,73,99,优
2021-02-04,57,36,64,5,36,0.6,57,4,良
2021-02-05,63,41,75,4,45,0.8,64,153,良
2021-02-06,84,35,117,4,25,0.5,80,155,良
2021-02-07,51,22,51,4,13,0.4,73,297,良
2021-02-08,46,32,44,3,29,0.6,67,5,优
2021-02-09,87,64,75,6,40,0.9,74,235,良
2021-02-10,102,76,83,6,39,1.0,92,283,轻度污染
2021-02-11,215,165,155,9,42,1.7,93,281,重度污染
2021-02-12,250,200,206,9,31,1.6,111,320,重度污染
2021-02-13,257,207,194,5,39,2.3,41,320,重度污染
2021-02-14,132,100,87,2,20,1.4,52,334,轻度污染
2021-02-15,51,9,51,2,8,0.3,73,22,良
2021-02-16,39,5,29,2,4,0.2,77,166,优
2021-02-17,36,9,16,2,8,0.3,71,19,优
2021-02-18,38,26,36,4,26,0.5,63,26,优
2021-02-19,60,43,66,4,42,0.8,67,234,良
2021-02-20,72,46,93,5,49,0.8,60,151,良
2021-02-21,119,0,0,4,33,0.6,75,277,轻度污染
2021-02-22,59,30,68,3,14,0.4,83,243,良
2021-02-23,50,28,50,3,20,0.5,58,100,优
2021-02-24,62,44,54,3,27,0.7,54,124,良
2021-02-25,108,81,79,4,35,1.0,80,274,轻度污染
2021-02-26,173,131,109,4,40,1.3,104,319,中度污染
2021-02-27,159,121,99,6,40,1.1,105,313,中度污染
2021-02-28,125,95,70,3,37,0.9,59,311,轻度污染
