time_point,aqi,pm2_5,pm10,so2,no2,co,o3,rank,quality
2019-08-01,150,24,54,2,23,0.7,214,285,轻度污染
2019-08-02,83,29,36,5,21,0.8,139,298,良
2019-08-03,117,35,44,3,26,0.7,178,277,轻度污染
2019-08-04,65,40,45,3,28,0.9,117,238,良
2019-08-05,51,30,27,3,21,0.7,101,315,良
2019-08-06,91,46,47,2,24,0.7,149,267,良
2019-08-07,96,17,23,3,21,0.6,155,284,良
2019-08-08,123,33,46,2,28,0.7,185,70,轻度污染
2019-08-09,75,40,45,2,23,0.7,129,303,良
2019-08-10,61,23,25,3,26,0.6,113,52,良
2019-08-11,28,15,20,2,22,0.6,38,229,优
2019-08-12,39,6,16,2,15,0.4,78,29,优
2019-08-13,39,5,16,3,16,0.4,78,22,优
2019-08-14,44,11,28,2,28,0.5,88,132,优
2019-08-15,117,15,38,2,29,0.5,178,171,轻度污染
2019-08-16,39,6,18,2,16,0.3,78,113,优
2019-08-17,39,11,24,2,26,0.4,78,26,优
2019-08-18,86,15,45,2,33,0.5,143,136,良
2019-08-19,132,40,80,3,36,0.7,195,290,轻度污染
2019-08-20,70,51,54,3,30,0.8,88,290,良
2019-08-21,46,26,27,4,25,0.6,92,288,优
2019-08-22,43,14,32,3,34,0.6,83,118,优
2019-08-23,43,10,31,3,34,0.5,80,158,优
2019-08-24,100,15,43,3,32,0.5,159,131,良
2019-08-25,94,23,52,2,30,0.6,152,168,良
2019-08-26,102,76,90,2,39,0.9,123,214,轻度污染
2019-08-27,46,28,32,2,31,0.5,91,154,优
2019-08-28,34,4,25,2,21,0.3,67,23,优
2019-08-29,36,3,15,3,16,0.3,71,12,优
2019-08-30,45,6,21,2,20,0.3,89,26,优
2019-08-31,86,12,37,2,28,0.4,143,166,良
