time_point,aqi,pm2_5,pm10,so2,no2,co,o3,rank,quality
2018-09-01,88,44,50,3,30,0.9,145,353,良
2018-09-02,67,41,34,2,19,0.8,120,289,良
2018-09-03,42,29,28,2,19,0.5,78,92,优
2018-09-04,43,7,19,2,24,0.3,86,107,优
2018-09-05,62,11,33,3,31,0.4,114,99,良
2018-09-06,35,8,35,2,19,0.3,68,204,优
2018-09-07,34,5,18,2,17,0.3,68,42,优
2018-09-08,42,8,23,2,27,0.3,84,32,优
2018-09-09,75,24,56,4,41,0.5,129,172,良
2018-09-10,75,43,74,6,52,0.9,129,269,良
2018-09-11,80,43,68,5,41,0.8,135,282,良
2018-09-12,103,47,58,4,37,0.8,163,287,轻度污染
2018-09-13,110,80,97,4,49,0.9,170,330,轻度污染
2018-09-14,132,100,109,5,50,1.0,157,333,轻度污染
2018-09-15,30,14,23,2,20,0.4,59,332,优
2018-09-16,42,8,26,3,30,0.3,83,157,优
2018-09-17,52,12,40,3,41,0.4,72,223,良
2018-09-18,63,20,55,3,50,0.5,56,287,良
2018-09-19,74,28,63,3,59,0.7,42,227,良
2018-09-20,64,45,70,3,50,0.7,116,280,良
2018-09-21,45,15,45,2,29,0.3,62,318,优
2018-09-22,34,6,25,2,18,0.2,68,70,优
2018-09-23,30,5,25,2,22,0.3,59,91,优
2018-09-24,36,8,25,3,28,0.3,72,65,优
2018-09-25,48,22,48,4,36,0.6,90,59,优
2018-09-26,54,34,57,3,40,0.6,93,244,良
2018-09-27,89,66,80,5,59,0.9,68,261,良
2018-09-28,75,55,42,3,35,0.8,83,325,良
2018-09-29,32,6,13,3,24,0.3,64,14,优
2018-09-30,30,5,18,3,21,0.3,59,16,优
