time_point,aqi,pm2_5,pm10,so2,no2,co,o3,rank,quality
2022-04-01,43,14,32,2,23,0.3,86,6,优
2022-04-02,44,13,30,2,20,0.3,88,221,优
2022-04-03,63,22,61,2,25,0.3,115,104,良
2022-04-04,93,69,122,4,27,0.5,149,272,良
2022-04-05,80,44,110,2,21,0.4,95,328,良
2022-04-06,58,11,65,2,15,0.3,80,272,良
2022-04-07,66,28,81,2,34,0.4,86,106,良
2022-04-08,119,90,165,6,35,1.0,175,281,轻度污染
2022-04-09,119,90,161,4,28,0.9,155,324,轻度污染
2022-04-10,128,96,173,4,30,1.1,190,302,轻度污染
2022-04-11,113,0,0,3,27,0.7,98,319,轻度污染
2022-04-12,69,14,87,3,12,0.3,103,258,良
2022-04-13,67,28,62,2,17,0.4,120,283,良
2022-04-14,46,11,29,3,15,0.2,92,159,优
2022-04-15,47,9,23,3,11,0.2,94,96,优
2022-04-16,49,13,37,3,20,0.2,98,194,优
2022-04-17,70,41,89,3,38,0.4,82,256,良
2022-04-18,95,58,104,4,31,0.6,153,295,良
2022-04-19,70,48,86,3,30,0.4,124,302,良
2022-04-20,102,39,90,3,24,0.4,162,155,轻度污染
2022-04-21,84,32,0,3,15,0.3,97,238,良
2022-04-22,54,11,39,2,10,0.2,104,178,良
2022-04-23,80,37,101,4,26,0.5,136,219,良
2022-04-24,111,52,137,5,28,0.8,172,319,轻度污染
2022-04-25,107,65,155,4,26,1.1,167,283,轻度污染
2022-04-26,71,22,92,3,9,0.3,97,316,良
2022-04-27,38,9,28,2,10,0.2,75,107,优
2022-04-28,42,15,23,3,11,0.3,83,32,优
2022-04-29,59,42,61,2,18,0.4,96,171,良
2022-04-30,45,4,13,3,9,0.2,89,36,优
