time_point,aqi,pm2_5,pm10,so2,no2,co,o3,rank,quality
2022-03-01,38,7,19,2,12,0.3,76,16,优
2022-03-02,43,16,43,3,25,0.4,82,68,优
2022-03-03,61,26,72,4,28,0.6,74,15,良
2022-03-04,72,25,94,3,22,0.4,83,191,良
2022-03-05,40,7,31,2,12,0.2,80,40,优
2022-03-06,52,22,53,5,35,0.4,75,64,良
2022-03-07,53,26,56,4,34,0.5,82,178,良
2022-03-08,77,56,103,5,50,0.8,83,143,良
2022-03-09,134,102,171,7,51,1.0,125,255,轻度污染
2022-03-10,205,155,249,5,48,1.2,146,330,重度污染
2022-03-11,120,91,158,4,35,1.0,80,331,轻度污染
2022-03-12,62,44,70,2,28,0.6,91,139,良
2022-03-13,80,59,79,2,28,0.8,81,245,良
2022-03-14,52,32,54,2,18,0.5,95,83,良
2022-03-15,69,47,87,2,26,0.7,80,189,良
2022-03-16,79,45,108,3,27,0.7,73,241,良
2022-03-17,41,18,41,3,18,0.5,57,175,优
2022-03-18,62,44,55,3,25,0.6,38,213,良
2022-03-19,44,24,28,3,18,0.4,88,279,优
2022-03-20,53,37,52,2,29,0.4,84,116,良
2022-03-21,42,9,15,2,15,0.2,84,67,优
2022-03-22,36,16,29,2,23,0.3,72,48,优
2022-03-23,75,55,75,2,34,0.5,62,215,良
2022-03-24,127,96,131,2,43,0.8,33,297,轻度污染
2022-03-25,95,0,0,2,28,0.5,68,319,良
2022-03-26,66,14,81,2,19,0.2,86,293,良
2022-03-27,46,7,29,2,14,0.2,91,92,优
2022-03-28,70,30,90,3,23,0.3,104,172,良
2022-03-29,77,54,103,2,27,0.5,67,285,良
2022-03-30,40,28,40,3,19,0.5,56,305,优
2022-03-31,44,13,19,3,16,0.3,88,102,优
