time_point,aqi,pm2_5,pm10,so2,no2,co,o3,rank,quality
2021-07-01,82,12,28,3,12,0.4,138,130,良
2021-07-02,101,11,25,2,11,0.4,161,121,轻度污染
2021-07-03,81,7,16,3,10,0.4,137,253,良
2021-07-04,68,10,24,3,15,0.4,121,77,良
2021-07-05,80,11,29,3,19,0.4,136,193,良
2021-07-06,94,12,22,3,11,0.5,152,154,良
2021-07-07,111,21,41,3,16,0.6,172,237,轻度污染
2021-07-08,87,12,32,2,17,0.5,144,156,良
2021-07-09,125,17,39,2,16,0.6,187,173,轻度污染
2021-07-10,117,31,68,2,20,0.9,178,315,轻度污染
2021-07-11,99,25,49,2,14,0.8,158,313,良
2021-07-12,30,4,6,3,8,0.5,59,67,优
2021-07-13,55,9,18,3,13,0.6,105,3,良
2021-07-14,90,20,35,3,13,0.7,147,116,良
2021-07-15,88,26,43,3,12,0.9,145,244,良
2021-07-16,66,17,32,2,11,0.7,119,233,良
2021-07-17,32,12,22,3,10,0.6,64,132,优
2021-07-18,36,16,26,3,12,0.6,71,65,优
2021-07-19,63,17,29,2,13,0.5,115,164,良
2021-07-20,59,19,35,2,14,0.6,110,236,良
2021-07-21,42,16,32,2,16,0.6,84,288,优
2021-07-22,29,14,26,2,18,0.7,57,87,优
2021-07-23,66,15,32,3,16,0.5,119,110,良
2021-07-24,86,27,53,3,18,0.5,143,262,良
2021-07-25,80,30,59,2,17,0.6,136,307,良
2021-07-26,68,29,59,2,16,0.7,121,291,良
2021-07-27,46,10,16,3,12,0.5,91,190,优
2021-07-28,33,12,21,2,16,0.6,66,8,优
2021-07-29,30,10,16,2,13,0.5,59,134,优
2021-07-30,39,6,14,2,11,0.4,77,7,优
2021-07-31,113,14,37,2,15,0.6,174,51,轻度污染
