time_point,aqi,pm2_5,pm10,so2,no2,co,o3,rank,quality
2019-03-01,158,120,126,8,62,1.2,103,317,中度污染
2019-03-02,233,183,155,9,65,1.4,131,359,重度污染
2019-03-03,213,163,160,10,62,1.4,104,353,重度污染
2019-03-04,143,109,107,6,54,1.1,91,313,轻度污染
2019-03-05,114,86,66,5,42,0.9,87,264,轻度污染
2019-03-06,42,8,22,2,16,0.3,84,80,优
2019-03-07,48,20,44,4,38,0.5,80,107,优
2019-03-08,79,58,103,9,59,0.8,88,276,良
2019-03-09,113,85,121,9,61,0.8,65,349,轻度污染
2019-03-10,145,111,133,5,55,1.0,70,356,轻度污染
2019-03-11,41,22,36,3,24,0.5,82,11,优
2019-03-12,39,4,26,2,11,0.3,77,7,优
2019-03-13,39,8,29,2,23,0.3,78,9,优
2019-03-14,43,7,43,3,23,0.3,79,1,优
2019-03-15,48,11,48,3,17,0.3,79,284,优
2019-03-16,56,23,61,4,38,0.5,76,196,良
2019-03-17,74,49,98,7,51,0.7,104,34,良
2019-03-18,134,102,144,10,74,0.9,112,255,轻度污染
2019-03-19,163,124,168,9,74,1.0,130,330,中度污染
2019-03-20,85,63,101,5,39,0.7,83,292,良
2019-03-21,40,5,25,2,11,0.3,79,97,优
2019-03-22,41,7,32,2,18,0.2,82,22,优
2019-03-23,41,11,33,3,14,0.3,81,194,优
2019-03-24,69,36,87,6,44,0.4,79,188,良
2019-03-25,56,21,61,3,39,0.5,94,208,良
2019-03-26,85,47,120,9,44,0.8,85,39,良
2019-03-27,91,63,132,7,52,0.9,79,306,良
2019-03-28,58,24,65,7,28,0.5,61,177,良
2019-03-29,71,22,92,4,30,0.4,76,128,良
2019-03-30,40,5,26,3,9,0.2,79,10,优
2019-03-31,42,8,30,2,25,0.3,83,31,优
