time_point,aqi,pm2_5,pm10,so2,no2,co,o3,rank,quality
2019-01-01,45,28,45,8,34,0.7,47,92,优
2019-01-02,78,57,75,12,56,1.0,28,172,良
2019-01-03,162,123,136,21,82,1.9,12,287,中度污染
2019-01-04,40,18,40,5,26,0.5,61,59,优
2019-01-05,47,17,34,7,37,0.5,49,75,优
2019-01-06,88,64,95,12,70,1.4,13,199,良
2019-01-07,55,34,54,9,44,0.9,52,101,良
2019-01-08,35,10,29,4,28,0.5,62,45,优
2019-01-09,74,41,66,12,59,0.9,26,249,良
2019-01-10,100,75,113,14,79,1.5,17,260,良
2019-01-11,135,103,130,15,80,1.7,21,264,轻度污染
2019-01-12,267,217,212,14,101,2.7,14,342,重度污染
2019-01-13,169,128,183,6,64,1.7,58,275,中度污染
2019-01-14,137,104,143,8,72,1.7,46,231,轻度污染
2019-01-15,54,9,57,4,18,0.3,61,113,良
2019-01-16,73,38,74,10,58,0.9,37,234,良
2019-01-17,78,45,77,13,62,1.2,34,171,良
2019-01-18,94,64,105,15,75,1.4,18,202,良
2019-01-19,33,11,33,5,24,0.5,59,14,优
2019-01-20,33,9,29,3,19,0.3,66,16,优
2019-01-21,57,24,63,6,44,0.6,62,93,良
2019-01-22,64,28,70,7,51,0.9,54,85,良
2019-01-23,60,23,53,6,48,0.7,56,81,良
2019-01-24,79,58,75,12,53,1.2,41,131,良
2019-01-25,32,10,32,4,21,0.5,61,8,优
2019-01-26,44,25,40,5,35,0.6,50,36,优
2019-01-27,76,49,102,9,45,1.0,67,178,良
2019-01-28,56,35,61,6,33,0.6,59,81,良
2019-01-29,139,106,140,17,76,1.5,24,289,轻度污染
2019-01-30,63,28,75,5,22,0.6,61,129,良
2019-01-31,30,13,27,5,20,0.5,59,9,优
