time_point,aqi,pm2_5,pm10,so2,no2,co,o3,rank,quality
2018-12-01,175,132,199,10,82,2.0,30,292,中度污染
2018-12-02,232,182,227,7,85,2.6,5,324,重度污染
2018-12-03,0,0,0,3,21,0.5,57,295,无
2018-12-04,61,14,71,3,25,0.4,58,188,良
2018-12-05,77,39,103,10,59,1.1,8,260,良
2018-12-06,37,9,37,3,15,0.4,54,84,优
2018-12-07,38,6,38,3,12,0.3,56,147,优
2018-12-08,36,11,36,3,22,0.3,60,129,优
2018-12-09,73,41,71,9,58,0.9,26,278,良
2018-12-10,83,58,89,12,66,1.1,18,264,良
2018-12-11,52,21,54,6,32,0.6,52,135,良
2018-12-12,73,31,64,7,58,0.8,31,173,良
2018-12-13,49,13,40,5,39,0.5,58,60,优
2018-12-14,83,48,76,11,66,1.0,23,185,良
2018-12-15,120,91,116,14,85,1.5,12,289,轻度污染
2018-12-16,88,65,107,8,59,1.2,54,186,良
2018-12-17,57,25,53,6,45,0.6,53,79,良
2018-12-18,67,27,58,6,53,0.8,53,107,良
2018-12-19,78,34,72,8,62,1.0,25,141,良
2018-12-20,93,51,93,11,74,1.2,10,99,良
2018-12-21,94,70,117,12,70,1.3,43,235,良
2018-12-22,66,34,82,7,41,0.8,53,241,良
2018-12-23,52,13,53,3,22,0.4,58,209,良
2018-12-24,78,51,93,10,62,1.0,19,179,良
2018-12-25,58,27,66,7,35,0.7,55,238,良
2018-12-26,33,9,26,4,26,0.4,50,36,优
2018-12-27,51,7,52,4,10,0.3,54,197,良
2018-12-28,39,9,39,4,19,0.4,50,121,优
2018-12-29,33,10,28,5,26,0.4,52,52,优
2018-12-30,47,15,32,4,37,0.5,42,98,优
2018-12-31,70,38,59,10,56,0.9,20,234,良
