time_point,aqi,pm2_5,pm10,so2,no2,co,o3,rank,quality
2022-05-01,50,11,31,2,18,0.2,99,146,优
2022-05-02,74,23,49,4,24,0.4,128,145,良
2022-05-03,107,29,70,3,24,0.4,167,147,轻度污染
2022-05-04,130,32,87,3,23,0.4,192,265,轻度污染
2022-05-05,126,34,92,4,17,0.5,188,301,轻度污染
2022-05-06,54,18,57,3,12,0.3,83,250,良
2022-05-07,42,16,33,3,15,0.3,84,120,优
2022-05-08,36,14,25,3,12,0.3,72,80,优
2022-05-09,57,18,32,3,16,0.3,108,77,良
2022-05-10,70,51,79,3,19,0.5,67,277,良
2022-05-11,48,23,41,3,16,0.4,96,266,优
2022-05-12,49,13,23,3,11,0.2,98,227,优
2022-05-13,46,5,20,3,10,0.2,92,219,优
2022-05-14,47,6,22,3,14,0.2,94,95,优
2022-05-15,50,9,23,3,15,0.2,99,126,优
2022-05-16,60,12,29,3,14,0.2,111,129,良
2022-05-17,101,30,67,4,25,0.4,161,169,轻度污染
2022-05-18,70,20,40,2,15,0.3,124,270,良
2022-05-19,136,36,76,4,22,0.6,199,181,轻度污染
2022-05-20,153,39,82,3,19,0.6,218,298,中度污染
2022-05-21,148,32,72,3,19,0.5,212,315,轻度污染
2022-05-22,163,30,78,3,19,0.5,228,281,中度污染
2022-05-23,127,30,69,3,17,0.5,189,299,轻度污染
2022-05-24,127,27,61,3,15,0.5,189,268,轻度污染
2022-05-25,49,4,20,3,7,0.2,97,104,优
2022-05-26,48,7,26,3,14,0.2,96,182,优
2022-05-27,84,12,39,3,18,0.3,140,148,良
2022-05-28,178,26,79,4,17,0.5,243,218,中度污染
2022-05-29,61,15,44,3,10,0.3,113,312,良
2022-05-30,61,10,28,2,15,0.2,113,43,良
2022-05-31,114,18,50,3,22,0.4,175,203,轻度污染
