time_point,aqi,pm2_5,pm10,so2,no2,co,o3,rank,quality
2020-09-01,46,12,25,3,23,0.5,91,100,优
2020-09-02,36,13,26,3,19,0.4,71,61,优
2020-09-03,33,7,18,2,17,0.3,65,10,优
2020-09-04,48,14,35,3,28,0.8,96,92,优
2020-09-05,95,24,52,2,32,0.9,154,327,良
2020-09-06,158,58,82,4,32,1.0,223,217,中度污染
2020-09-07,55,15,27,3,19,0.4,106,184,良
2020-09-08,34,7,19,3,22,0.3,68,36,优
2020-09-09,40,8,23,3,26,0.4,80,50,优
2020-09-10,27,6,20,2,19,0.3,54,84,优
2020-09-11,22,5,15,3,17,0.4,43,3,优
2020-09-12,41,11,21,2,18,0.4,82,3,优
2020-09-13,64,24,39,2,25,0.5,116,136,良
2020-09-14,60,43,49,2,23,0.6,106,248,良
2020-09-15,48,33,22,3,22,0.7,73,313,优
2020-09-16,26,5,15,2,13,0.3,51,88,优
2020-09-17,33,7,20,2,21,0.3,66,10,优
2020-09-18,37,9,25,3,29,0.4,70,192,优
2020-09-19,71,14,37,3,31,0.4,125,183,良
2020-09-20,48,11,30,2,26,0.3,96,187,优
2020-09-21,80,38,65,3,39,0.6,136,246,良
2020-09-22,39,24,38,3,31,0.5,70,291,优
2020-09-23,49,34,33,3,33,0.9,60,289,优
2020-09-24,54,27,24,3,25,0.7,104,253,良
2020-09-25,75,35,39,3,32,0.7,129,172,良
2020-09-26,101,55,56,2,36,0.7,161,265,轻度污染
2020-09-27,92,66,65,2,40,0.8,150,321,良
2020-09-28,109,82,82,3,38,0.8,149,309,轻度污染
2020-09-29,24,12,14,3,19,0.4,45,284,优
2020-09-30,33,17,28,2,26,0.4,54,76,优
