time_point,aqi,pm2_5,pm10,so2,no2,co,o3,rank,quality
2022-06-01,91,14,36,3,19,0.3,149,206,良
2022-06-02,173,21,55,3,22,0.4,238,203,中度污染
2022-06-03,200,34,79,6,21,0.7,265,252,中度污染
2022-06-04,101,24,47,3,10,0.4,161,253,轻度污染
2022-06-05,50,11,30,3,10,0.3,100,263,优
2022-06-06,48,3,9,3,7,0.2,95,80,优
2022-06-07,77,10,28,2,13,0.4,132,36,良
2022-06-08,68,23,49,3,14,0.7,121,193,良
2022-06-09,60,25,48,3,17,0.8,111,228,良
2022-06-10,109,29,66,2,14,0.7,169,265,轻度污染
2022-06-11,73,23,53,3,14,0.6,127,300,良
2022-06-12,90,17,33,3,11,0.5,147,91,良
2022-06-13,55,16,29,3,12,0.4,105,163,良
2022-06-14,60,14,28,3,13,0.5,111,242,良
2022-06-15,90,22,41,3,13,0.6,148,147,良
2022-06-16,131,26,55,3,17,0.6,194,241,轻度污染
2022-06-17,145,36,74,3,18,0.9,209,271,轻度污染
2022-06-18,159,35,72,2,12,0.9,224,290,中度污染
2022-06-19,151,31,62,3,11,0.8,216,305,中度污染
2022-06-20,170,34,72,2,14,0.8,235,300,中度污染
2022-06-21,172,57,107,3,19,1.1,237,334,中度污染
2022-06-22,73,53,79,3,17,0.9,100,250,良
2022-06-23,81,12,17,3,14,0.4,137,326,良
2022-06-24,73,5,15,2,17,0.2,127,53,良
2022-06-25,205,20,56,3,23,0.4,287,199,重度污染
2022-06-26,105,24,55,3,13,0.6,165,334,轻度污染
2022-06-27,70,26,40,2,10,0.6,123,297,良
2022-06-28,46,12,19,3,9,0.4,91,232,优
2022-06-29,44,9,15,3,9,0.4,87,64,优
2022-06-30,76,14,25,3,12,0.4,131,60,良
