time_point,aqi,pm2_5,pm10,so2,no2,co,o3,rank,quality
2019-09-01,100,20,51,3,32,0.4,160,255,良
2019-09-02,128,26,59,2,34,0.5,190,252,轻度污染
2019-09-03,178,48,83,3,39,0.7,243,303,中度污染
2019-09-04,143,52,79,3,39,0.8,207,295,轻度污染
2019-09-05,149,45,72,2,34,0.6,213,254,轻度污染
2019-09-06,178,49,83,3,40,0.7,243,246,中度污染
2019-09-07,150,45,74,3,36,0.7,215,280,轻度污染
2019-09-08,127,34,72,3,36,0.6,189,234,轻度污染
2019-09-09,147,65,92,7,31,1.3,211,293,轻度污染
2019-09-10,33,10,11,3,19,0.5,65,103,优
2019-09-11,40,15,26,5,32,0.7,47,56,优
2019-09-12,38,20,31,2,25,0.5,75,35,优
2019-09-13,35,22,23,2,22,0.5,69,236,优
2019-09-14,50,11,26,3,27,0.4,100,129,优
2019-09-15,68,27,53,2,38,0.5,121,216,良
2019-09-16,61,17,44,3,28,0.5,113,259,良
2019-09-17,83,29,60,3,30,0.6,139,237,良
2019-09-18,41,6,26,3,21,0.3,82,38,优
2019-09-19,56,24,61,3,41,0.5,90,215,良
2019-09-20,74,37,70,3,41,0.7,128,201,良
2019-09-21,120,58,78,5,37,1.1,182,274,轻度污染
2019-09-22,119,77,72,4,31,1.3,180,323,轻度污染
2019-09-23,51,29,40,3,35,0.6,101,300,良
2019-09-24,61,12,35,3,28,0.4,113,58,良
2019-09-25,100,23,53,3,37,0.6,160,81,良
2019-09-26,127,34,56,2,35,0.7,189,154,轻度污染
2019-09-27,95,51,57,3,31,0.8,154,148,良
2019-09-28,127,57,67,2,32,0.8,189,92,轻度污染
2019-09-29,137,59,76,2,35,0.9,200,231,轻度污染
2019-09-30,104,71,96,3,32,0.9,164,229,轻度污染
