time_point,aqi,pm2_5,pm10,so2,no2,co,o3,rank,quality
2019-04-01,45,13,40,2,30,0.4,89,63,优
2019-04-02,58,30,66,6,40,0.6,88,228,良
2019-04-03,78,57,86,8,50,0.6,128,254,良
2019-04-04,90,67,124,7,54,0.6,126,278,良
2019-04-05,171,40,292,3,25,0.3,84,63,中度污染
2019-04-06,131,39,212,6,36,0.5,89,319,轻度污染
2019-04-07,75,40,99,8,40,0.6,94,222,良
2019-04-08,61,29,71,12,35,0.9,83,168,良
2019-04-09,39,24,39,3,22,0.5,70,44,优
2019-04-10,48,26,39,3,28,0.4,95,120,优
2019-04-11,65,47,68,2,37,0.4,105,186,良
2019-04-12,85,63,86,4,41,0.6,114,154,良
2019-04-13,109,82,87,4,38,0.6,92,303,轻度污染
2019-04-14,57,17,63,3,24,0.3,101,205,良
2019-04-15,74,43,97,6,42,0.5,114,240,良
2019-04-16,101,72,109,7,37,0.6,161,291,轻度污染
2019-04-17,138,105,137,9,54,1.0,189,321,轻度污染
2019-04-18,107,38,163,3,20,0.4,91,317,轻度污染
2019-04-19,61,20,72,3,27,0.4,86,141,良
2019-04-20,57,40,61,2,43,0.5,39,138,良
2019-04-21,112,59,174,5,41,0.8,105,343,轻度污染
2019-04-22,126,94,133,5,42,0.9,188,302,轻度污染
2019-04-23,124,94,69,2,30,0.7,104,312,轻度污染
2019-04-24,60,43,44,2,26,0.6,57,303,良
2019-04-25,49,9,21,3,16,0.2,97,14,优
2019-04-26,60,19,27,3,18,0.3,111,178,良
2019-04-27,54,38,38,3,27,0.4,79,162,良
2019-04-28,65,47,37,3,23,0.5,88,107,良
2019-04-29,139,106,85,3,38,0.9,126,291,轻度污染
2019-04-30,74,35,98,2,23,0.4,96,320,良
