time_point,aqi,pm2_5,pm10,so2,no2,co,o3,rank,quality
2019-10-01,70,51,79,3,23,0.8,0,230,良
2019-10-02,70,51,69,3,24,0.9,0,191,良
2019-10-03,89,56,82,2,22,0.8,146,249,良
2019-10-04,27,11,27,2,12,0.4,47,287,优
2019-10-05,23,6,16,2,18,0.3,0,26,优
2019-10-06,47,23,33,2,37,0.4,0,68,优
2019-10-07,54,38,52,2,35,0.6,0,284,良
2019-10-08,29,7,23,3,22,0.3,58,40,优
2019-10-09,55,31,55,4,44,0.5,69,131,良
2019-10-10,67,48,44,2,31,0.5,49,156,良
2019-10-11,59,42,57,4,45,0.8,35,279,良
2019-10-12,72,28,72,15,57,1.4,14,218,良
2019-10-13,55,23,51,4,44,0.9,17,274,良
2019-10-14,34,9,21,2,27,0.3,53,31,优
2019-10-15,49,16,32,2,39,0.4,46,126,优
2019-10-16,58,28,44,2,46,0.5,35,180,良
2019-10-17,74,54,53,2,51,0.8,8,233,良
2019-10-18,82,60,46,2,43,0.8,58,246,良
2019-10-19,163,124,86,2,58,1.2,42,280,中度污染
2019-10-20,105,79,121,2,42,0.7,60,319,轻度污染
2019-10-21,55,17,54,3,44,0.5,43,107,良
2019-10-22,75,44,98,3,60,0.9,49,191,良
2019-10-23,104,78,120,4,67,1.1,95,219,轻度污染
2019-10-24,90,67,84,2,52,0.9,46,300,良
2019-10-25,30,8,20,2,24,0.4,55,12,优
2019-10-26,59,30,54,3,47,0.6,36,168,良
2019-10-27,73,53,80,3,58,0.8,38,250,良
2019-10-28,113,26,175,2,20,0.3,60,280,轻度污染
2019-10-29,68,32,85,4,54,0.6,44,96,良
2019-10-30,93,54,114,3,74,0.8,28,193,良
2019-10-31,74,36,84,3,59,0.9,66,183,良
