time_point,aqi,pm2_5,pm10,so2,no2,co,o3,rank,quality
2019-12-01,30,11,30,4,17,0.3,60,22,优
2019-12-02,30,10,25,3,24,0.3,52,7,优
2019-12-03,48,15,43,3,38,0.5,62,106,优
2019-12-04,43,13,32,3,34,0.4,65,64,优
2019-12-05,48,21,38,4,38,0.7,56,150,优
2019-12-06,73,49,67,5,58,0.9,19,74,良
2019-12-07,78,52,68,4,62,0.9,29,197,良
2019-12-08,189,142,142,3,75,1.7,5,195,中度污染
2019-12-09,233,183,183,2,87,2.1,9,293,重度污染
2019-12-10,129,98,114,3,51,1.4,56,304,轻度污染
2019-12-11,29,6,15,2,22,0.3,58,2,优
2019-12-12,59,19,37,4,47,0.6,30,1,良
2019-12-13,50,21,47,5,40,0.7,58,73,优
2019-12-14,57,15,28,3,45,0.5,38,2,良
2019-12-15,85,49,75,10,68,1.3,11,102,良
2019-12-16,92,68,49,2,65,1.3,7,199,良
2019-12-17,28,10,18,2,14,0.3,56,107,优
2019-12-18,47,19,27,2,37,0.5,34,3,优
2019-12-19,30,11,23,3,24,0.4,53,148,优
2019-12-20,60,19,34,3,48,0.6,26,6,良
2019-12-21,65,38,51,4,52,0.8,18,110,良
2019-12-22,87,63,78,7,69,1.2,18,207,良
2019-12-23,67,48,57,5,42,1.0,46,46,良
2019-12-24,109,82,76,4,55,1.3,18,272,轻度污染
2019-12-25,79,58,57,4,39,1.0,51,257,良
2019-12-26,47,16,47,2,34,0.5,51,5,优
2019-12-27,75,39,88,4,60,0.9,16,144,良
2019-12-28,103,77,118,9,72,1.6,13,207,轻度污染
2019-12-29,118,89,110,6,55,1.4,55,271,轻度污染
2019-12-30,35,8,35,3,10,0.3,52,26,优
2019-12-31,48,21,36,5,38,0.5,31,1,优
