time_point,aqi,pm2_5,pm10,so2,no2,co,o3,rank,quality
2019-05-01,60,13,38,3,28,0.3,111,57,良
2019-05-02,85,23,57,3,37,0.3,141,122,良
2019-05-03,108,53,93,7,44,0.6,168,151,轻度污染
2019-05-04,126,49,84,7,29,0.5,188,234,轻度污染
2019-05-05,52,22,54,2,15,0.2,96,63,良
2019-05-06,56,19,38,2,27,0.3,107,112,良
2019-05-07,65,23,52,3,32,0.3,118,242,良
2019-05-08,69,47,87,5,47,0.5,103,260,良
2019-05-09,81,37,68,3,39,0.5,137,303,良
2019-05-10,124,51,99,6,48,0.6,186,225,轻度污染
2019-05-11,138,71,97,6,41,0.8,201,270,轻度污染
2019-05-12,117,88,174,5,27,0.8,94,138,轻度污染
2019-05-13,60,19,69,3,21,0.3,102,42,良
2019-05-14,101,54,121,7,49,0.6,161,169,轻度污染
2019-05-15,134,91,208,10,49,1.1,197,292,轻度污染
2019-05-16,116,67,141,4,39,0.7,177,286,轻度污染
2019-05-17,112,81,115,3,34,0.8,173,310,轻度污染
2019-05-18,54,38,41,2,26,0.6,80,43,良
2019-05-19,58,30,65,3,15,0.3,82,166,良
2019-05-20,47,12,46,2,19,0.3,93,197,优
2019-05-21,61,14,39,2,35,0.4,113,114,良
2019-05-22,94,21,55,2,52,0.5,152,113,良
2019-05-23,195,27,71,4,45,0.6,260,176,中度污染
2019-05-24,130,45,111,6,54,0.7,192,238,轻度污染
2019-05-25,175,49,115,6,44,0.7,240,285,中度污染
2019-05-26,64,36,77,4,25,0.8,90,293,良
2019-05-27,48,6,15,3,14,0.2,96,90,优
2019-05-28,80,12,36,3,32,0.3,135,59,良
2019-05-29,144,21,51,3,33,0.4,208,263,轻度污染
2019-05-30,61,20,54,4,24,0.3,113,247,良
2019-05-31,60,10,33,3,23,0.3,112,55,良
