time_point,aqi,pm2_5,pm10,so2,no2,co,o3,rank,quality
2018-04-01,213,163,198,14,74,1.4,185,338,重度污染
2018-04-02,256,206,225,9,63,1.6,143,338,重度污染
2018-04-03,69,12,87,2,15,0.2,80,168,良
2018-04-04,39,22,20,2,31,0.4,59,64,优
2018-04-05,73,50,95,2,25,0.5,42,258,良
2018-04-06,59,14,68,2,8,0.2,83,137,良
2018-04-07,47,18,47,4,22,0.3,89,27,优
2018-04-08,66,38,82,6,45,0.5,82,108,良
2018-04-09,108,81,118,20,59,1.3,105,312,轻度污染
2018-04-10,80,47,109,7,37,0.8,82,207,良
2018-04-11,54,18,57,4,35,0.3,97,114,良
2018-04-12,76,29,102,9,37,0.6,94,258,良
2018-04-13,63,37,57,8,50,1.1,47,264,良
2018-04-14,113,26,175,2,12,0.3,93,336,轻度污染
2018-04-15,64,23,77,4,28,0.3,101,197,良
2018-04-16,101,67,152,9,45,0.6,143,288,轻度污染
2018-04-17,126,89,201,9,39,0.8,145,329,轻度污染
2018-04-18,133,101,197,7,45,0.8,160,330,轻度污染
2018-04-19,147,112,179,9,46,0.9,187,333,轻度污染
2018-04-20,150,115,146,11,41,1.3,211,327,轻度污染
2018-04-21,85,63,67,3,31,0.9,71,314,良
2018-04-22,36,10,18,2,19,0.3,71,27,优
2018-04-23,49,16,29,2,26,0.4,97,158,优
2018-04-24,56,18,33,2,35,0.4,107,182,良
2018-04-25,77,31,61,4,42,0.5,132,215,良
2018-04-26,113,85,103,6,50,0.7,153,307,轻度污染
2018-04-27,107,39,163,4,36,0.5,129,274,轻度污染
2018-04-28,133,88,159,6,51,0.7,196,313,轻度污染
2018-04-29,176,133,156,8,55,1.0,155,336,中度污染
2018-04-30,60,26,62,4,23,0.6,111,186,良
