time_point,aqi,pm2_5,pm10,so2,no2,co,o3,rank,quality
2018-05-01,111,38,171,2,30,0.4,77,321,轻度污染
2018-05-02,46,15,38,2,21,0.3,92,68,优
2018-05-03,50,14,50,3,27,0.3,100,68,优
2018-05-04,100,56,105,8,52,0.6,159,284,良
2018-05-05,0,0,0,4,45,0.5,79,1,无
2018-05-06,112,55,174,4,39,0.5,136,333,轻度污染
2018-05-07,92,51,124,7,42,0.7,150,309,良
2018-05-08,81,28,75,4,36,0.5,137,251,良
2018-05-09,106,43,92,7,46,0.6,166,269,轻度污染
2018-05-10,130,85,131,11,58,0.9,192,330,轻度污染
2018-05-11,100,75,100,6,48,0.8,101,318,良
2018-05-12,169,128,115,4,40,1.4,149,338,中度污染
2018-05-13,105,45,76,3,37,0.5,165,282,轻度污染
2018-05-14,158,106,130,6,41,1.1,223,336,中度污染
2018-05-15,83,61,92,4,40,1.0,125,248,良
2018-05-16,138,105,83,5,34,1.7,164,329,轻度污染
2018-05-17,54,38,54,3,27,0.9,73,108,良
2018-05-18,84,21,44,4,28,0.5,140,280,良
2018-05-19,97,35,63,5,39,0.7,156,322,良
2018-05-20,54,37,42,3,28,0.7,104,160,良
2018-05-21,79,58,38,2,34,0.9,49,306,良
2018-05-22,96,42,141,2,23,0.4,90,333,良
2018-05-23,130,52,209,5,38,0.5,138,329,轻度污染
2018-05-24,135,47,120,7,48,0.7,198,328,轻度污染
2018-05-25,144,55,118,6,37,0.7,208,329,轻度污染
2018-05-26,0,0,0,4,33,0.7,128,1,无
2018-05-27,83,40,116,3,31,0.3,128,264,良
2018-05-28,0,0,0,2,23,0.2,87,1,无
2018-05-29,55,13,50,2,31,0.3,105,116,良
2018-05-30,85,12,34,3,32,0.3,142,256,良
2018-05-31,137,26,65,5,43,0.5,200,308,轻度污染
