time_point,aqi,pm2_5,pm10,so2,no2,co,o3,rank,quality
2018-10-01,40,8,21,3,19,0.3,80,12,优
2018-10-02,44,11,29,3,35,0.4,81,29,优
2018-10-03,53,13,34,3,42,0.5,82,83,良
2018-10-04,74,46,74,8,56,1.0,128,147,良
2018-10-05,109,82,87,7,56,1.2,123,295,轻度污染
2018-10-06,33,8,21,3,18,0.3,66,299,优
2018-10-07,49,10,36,2,39,0.4,67,47,优
2018-10-08,42,9,34,2,33,0.4,73,140,优
2018-10-09,26,4,19,3,15,0.2,51,82,优
2018-10-10,33,7,22,3,26,0.3,52,13,优
2018-10-11,47,12,31,2,37,0.3,59,40,优
2018-10-12,73,40,73,4,58,0.6,72,163,良
2018-10-13,113,85,104,6,75,1.0,90,292,轻度污染
2018-10-14,189,142,143,6,77,1.2,114,324,中度污染
2018-10-15,203,153,126,5,69,1.4,55,333,重度污染
2018-10-16,83,61,38,3,37,0.9,74,330,良
2018-10-17,53,32,51,2,42,0.6,63,269,良
2018-10-18,67,31,50,3,53,0.6,64,165,良
2018-10-19,73,43,56,3,58,0.7,79,279,良
2018-10-20,88,65,75,5,68,0.8,81,290,良
2018-10-21,152,116,111,7,85,1.4,56,308,中度污染
2018-10-22,158,120,116,5,58,1.2,72,331,中度污染
2018-10-23,45,15,43,2,36,0.4,58,11,优
2018-10-24,85,45,95,4,68,0.9,37,199,良
2018-10-25,112,84,123,9,74,1.5,29,271,轻度污染
2018-10-26,45,5,45,3,11,0.2,56,176,优
2018-10-27,33,10,32,3,26,0.3,57,6,优
2018-10-28,36,4,29,2,11,0.2,72,56,优
2018-10-29,31,5,20,2,21,0.3,62,37,优
2018-10-30,49,11,33,3,39,0.4,65,90,优
2018-10-31,62,23,51,4,49,0.8,45,157,良
