time_point,aqi,pm2_5,pm10,so2,no2,co,o3,rank,quality
2022-02-01,36,7,12,2,9,0.3,72,17,优
2022-02-02,37,12,19,2,14,0.4,74,31,优
2022-02-03,39,7,13,2,9,0.3,78,71,优
2022-02-04,39,5,10,2,5,0.2,77,47,优
2022-02-05,38,7,13,2,7,0.2,76,16,优
2022-02-06,38,8,16,2,11,0.3,76,13,优
2022-02-07,36,11,21,2,17,0.4,71,28,优
2022-02-08,36,15,26,2,22,0.4,71,114,优
2022-02-09,55,39,56,4,37,0.7,62,143,良
2022-02-10,77,56,80,3,36,0.7,82,229,良
2022-02-11,69,50,74,3,29,0.7,77,239,良
2022-02-12,57,35,63,4,21,0.6,57,218,良
2022-02-13,68,49,68,2,21,0.8,49,186,良
2022-02-14,39,13,17,2,10,0.3,77,148,优
2022-02-15,35,14,20,2,14,0.3,70,11,优
2022-02-16,37,14,21,2,14,0.3,73,6,优
2022-02-17,38,26,37,3,24,0.5,67,72,优
2022-02-18,48,33,44,2,21,0.4,74,243,优
2022-02-19,37,8,15,2,6,0.2,74,72,优
2022-02-20,36,9,21,2,12,0.3,72,55,优
2022-02-21,36,8,19,2,9,0.3,72,49,优
2022-02-22,38,11,19,2,12,0.3,76,56,优
2022-02-23,35,15,27,2,26,0.4,69,61,优
2022-02-24,46,25,46,3,34,0.5,65,98,优
2022-02-25,84,62,103,5,49,0.8,69,209,良
2022-02-26,42,8,20,2,15,0.3,83,254,优
2022-02-27,53,22,55,3,38,0.5,65,28,良
2022-02-28,76,52,102,7,42,0.8,76,174,良
