time_point,aqi,pm2_5,pm10,so2,no2,co,o3,rank,quality
2021-10-01,35,10,28,3,21,0.4,69,154,优
2021-10-02,56,27,62,2,32,0.8,42,198,良
2021-10-03,53,28,55,2,23,0.8,58,253,良
2021-10-04,25,3,17,3,14,0.3,49,40,优
2021-10-05,23,6,13,3,18,0.3,30,1,优
2021-10-06,20,6,7,3,16,0.3,39,5,优
2021-10-07,28,9,18,3,20,0.4,56,11,优
2021-10-08,38,16,33,3,26,0.5,76,52,优
2021-10-09,33,22,26,3,26,0.6,57,256,优
2021-10-10,32,3,21,3,14,0.2,63,158,优
2021-10-11,33,8,27,3,26,0.3,60,179,优
2021-10-12,37,12,33,3,29,0.4,68,241,优
2021-10-13,53,28,49,3,42,0.5,72,222,良
2021-10-14,42,17,42,3,32,0.5,54,254,优
2021-10-15,32,7,26,3,16,0.3,63,226,优
2021-10-16,32,4,19,3,10,0.2,63,54,优
2021-10-17,41,15,41,2,31,0.4,46,192,优
2021-10-18,58,33,66,3,39,0.5,45,270,良
2021-10-19,31,6,20,3,19,0.3,61,56,优
2021-10-20,48,23,48,2,36,0.4,47,166,优
2021-10-21,35,14,35,2,25,0.4,62,242,优
2021-10-22,35,10,30,3,27,0.3,70,82,优
2021-10-23,54,30,57,3,41,0.4,57,179,良
2021-10-24,92,68,81,4,49,0.7,66,233,良
2021-10-25,153,117,109,3,56,0.9,77,314,中度污染
2021-10-26,72,52,57,3,33,0.6,69,328,良
2021-10-27,39,8,32,3,31,0.3,63,23,优
2021-10-28,51,19,52,3,39,0.5,46,109,良
2021-10-29,93,69,93,5,60,0.8,47,182,良
2021-10-30,122,92,95,3,53,0.9,68,308,轻度污染
2021-10-31,53,22,55,3,20,0.4,63,118,良
