time_point,aqi,pm2_5,pm10,so2,no2,co,o3,rank,quality
2021-03-01,34,22,17,2,14,0.4,67,155,优
2021-03-02,83,61,54,2,23,0.7,39,218,良
2021-03-03,150,115,102,2,39,1.1,35,329,轻度污染
2021-03-04,202,152,132,2,50,1.4,38,332,重度污染
2021-03-05,144,110,101,2,35,1.1,48,335,轻度污染
2021-03-06,51,22,52,4,27,0.6,53,163,良
2021-03-07,78,57,73,2,39,0.7,54,223,良
2021-03-08,118,89,85,4,49,0.8,60,266,轻度污染
2021-03-09,193,145,112,4,52,1.0,90,314,中度污染
2021-03-10,242,192,137,4,58,1.3,88,328,重度污染
2021-03-11,162,123,83,3,38,0.9,96,329,中度污染
2021-03-12,137,104,70,2,37,0.9,50,314,轻度污染
2021-03-13,135,103,61,2,30,1.0,89,321,轻度污染
2021-03-14,172,130,96,2,46,1.0,39,312,中度污染
2021-03-15,500,0,0,2,18,0.4,77,311,严重污染
2021-03-16,120,0,0,3,22,0.3,73,269,轻度污染
2021-03-17,183,0,0,3,49,0.6,38,252,中度污染
2021-03-18,87,0,0,3,28,0.7,69,286,良
2021-03-19,97,72,88,3,34,0.8,54,285,良
2021-03-20,69,29,88,2,16,0.4,78,208,良
2021-03-21,41,7,33,2,12,0.2,81,36,优
2021-03-22,132,28,0,3,27,0.3,76,151,轻度污染
2021-03-23,86,38,121,4,43,0.5,82,285,良
2021-03-24,107,39,163,3,30,0.4,90,199,轻度污染
2021-03-25,86,58,122,4,42,0.5,121,101,良
2021-03-26,178,134,157,4,73,1.0,42,303,中度污染
2021-03-27,178,134,113,2,39,1.0,99,331,中度污染
2021-03-28,500,0,0,3,17,0.4,91,319,严重污染
2021-03-29,89,21,0,3,24,0.3,84,262,良
2021-03-30,141,0,0,4,35,0.5,106,255,轻度污染
2021-03-31,115,0,0,3,41,0.6,95,314,轻度污染
