time_point,aqi,pm2_5,pm10,so2,no2,co,o3,rank,quality
2021-04-01,113,0,0,8,43,0.9,115,317,轻度污染
2021-04-02,59,36,67,2,26,0.4,97,286,良
2021-04-03,44,12,40,3,18,0.2,88,277,优
2021-04-04,47,7,30,3,20,0.2,94,136,优
2021-04-05,60,30,70,4,30,0.4,110,235,良
2021-04-06,64,32,63,2,32,0.4,116,129,良
2021-04-07,66,38,82,4,35,0.5,111,230,良
2021-04-08,65,34,76,4,36,0.4,118,186,良
2021-04-09,64,40,78,7,33,0.7,103,275,良
2021-04-10,90,67,103,7,40,0.9,123,250,良
2021-04-11,79,58,94,4,34,0.5,117,317,良
2021-04-12,63,45,73,3,30,0.6,74,248,良
2021-04-13,45,6,28,3,14,0.2,89,47,优
2021-04-14,69,23,88,3,28,0.3,96,241,良
2021-04-15,187,0,0,4,22,0.4,98,312,中度污染
2021-04-16,108,32,0,2,9,0.2,81,281,轻度污染
2021-04-17,44,9,35,2,14,0.2,88,89,优
2021-04-18,66,25,82,3,32,0.4,109,131,良
2021-04-19,92,54,133,4,40,0.5,149,300,良
2021-04-20,100,52,123,3,37,0.6,160,324,良
2021-04-21,65,39,77,3,35,0.5,117,280,良
2021-04-22,47,32,43,2,27,0.6,94,240,优
2021-04-23,56,24,38,3,21,0.5,107,163,良
2021-04-24,56,20,42,2,21,0.4,107,102,良
2021-04-25,64,39,59,2,26,0.6,116,252,良
2021-04-26,80,42,70,4,30,0.5,136,217,良
2021-04-27,84,28,0,3,19,0.3,92,212,良
2021-04-28,59,14,67,3,18,0.2,98,152,良
2021-04-29,59,16,67,3,21,0.3,98,176,良
2021-04-30,41,13,30,2,23,0.3,81,46,优
