time_point,aqi,pm2_5,pm10,so2,no2,co,o3,rank,quality
2020-04-01,42,9,21,2,11,0.2,84,61,优
2020-04-02,42,16,34,3,21,0.3,84,142,优
2020-04-03,47,14,36,2,23,0.3,93,159,优
2020-04-04,102,23,154,3,12,0.3,94,147,轻度污染
2020-04-05,69,30,88,5,30,0.4,101,237,良
2020-04-06,86,62,122,7,48,0.6,124,209,良
2020-04-07,77,45,103,5,35,0.6,90,316,良
2020-04-08,55,21,60,5,30,0.5,82,181,良
2020-04-09,49,34,47,3,18,0.5,97,197,优
2020-04-10,70,39,50,3,25,0.5,123,134,良
2020-04-11,51,20,38,2,18,0.3,101,188,良
2020-04-12,54,17,52,3,13,0.3,104,145,良
2020-04-13,59,26,67,3,33,0.4,104,246,良
2020-04-14,104,66,102,8,46,0.6,164,171,轻度污染
2020-04-15,95,63,93,6,31,0.5,153,229,良
2020-04-16,63,23,75,2,11,0.3,92,163,良
2020-04-17,78,23,37,2,13,0.4,133,195,良
2020-04-18,75,33,45,2,23,0.4,129,62,良
2020-04-19,94,39,54,2,21,0.4,152,194,良
2020-04-20,45,7,31,3,6,0.2,90,13,优
2020-04-21,42,7,33,2,5,0.1,83,65,优
2020-04-22,43,6,24,2,6,0.1,86,1,优
2020-04-23,45,7,21,2,9,0.2,89,64,优
2020-04-24,91,19,132,2,17,0.2,101,60,良
2020-04-25,52,10,53,3,7,0.2,97,326,良
2020-04-26,50,14,33,3,21,0.3,99,36,优
2020-04-27,76,41,63,4,29,0.7,131,272,良
2020-04-28,131,59,109,6,40,0.6,194,240,轻度污染
2020-04-29,152,61,117,8,27,0.7,217,317,中度污染
2020-04-30,202,90,126,9,44,1.0,275,309,重度污染
