time_point,aqi,pm2_5,pm10,so2,no2,co,o3,rank,quality
2021-08-01,41,5,18,3,9,0.4,82,80,优
2021-08-02,55,5,19,2,12,0.4,105,17,良
2021-08-03,94,16,41,3,13,0.7,152,120,良
2021-08-04,99,30,50,3,14,0.7,158,293,良
2021-08-05,89,23,37,3,13,0.6,146,310,良
2021-08-06,84,24,43,2,16,0.6,140,76,良
2021-08-07,125,41,70,2,18,0.7,187,286,轻度污染
2021-08-08,106,40,75,3,19,0.8,166,314,轻度污染
2021-08-09,95,14,21,3,10,0.5,154,249,良
2021-08-10,93,14,30,2,16,0.6,151,39,良
2021-08-11,83,30,55,2,18,0.8,139,232,良
2021-08-12,90,26,48,3,14,0.9,147,301,良
2021-08-13,87,22,42,2,15,0.7,144,238,良
2021-08-14,64,22,35,2,12,0.7,116,243,良
2021-08-15,47,20,35,3,14,0.6,93,137,优
2021-08-16,60,22,33,2,14,0.8,112,197,良
2021-08-17,57,9,18,2,11,0.5,108,165,良
2021-08-18,62,15,34,3,19,0.5,114,170,良
2021-08-19,41,14,21,2,14,0.6,82,258,优
2021-08-20,60,8,17,2,12,0.6,112,39,良
2021-08-21,64,11,26,2,16,0.5,116,182,良
2021-08-22,85,33,68,2,18,0.8,142,243,良
2021-08-23,85,25,48,2,11,0.7,141,294,良
2021-08-24,48,8,19,3,12,0.4,95,125,优
2021-08-25,39,5,17,3,15,0.4,78,22,优
2021-08-26,41,5,15,3,13,0.4,81,22,优
2021-08-27,49,8,22,3,16,0.4,98,17,优
2021-08-28,38,9,24,3,19,0.4,76,213,优
2021-08-29,85,17,39,3,17,0.5,141,160,良
2021-08-30,87,26,52,3,22,0.6,144,287,良
2021-08-31,83,23,37,3,19,0.6,139,301,良
