time_point,aqi,pm2_5,pm10,so2,no2,co,o3,rank,quality
2022-01-01,52,24,54,4,33,0.6,65,118,良
2022-01-02,32,13,29,2,25,0.3,48,5,优
2022-01-03,50,23,50,3,39,0.5,41,65,优
2022-01-04,58,33,57,5,46,0.9,30,59,良
2022-01-05,84,62,75,3,50,1.0,24,137,良
2022-01-06,79,58,66,3,48,1.0,40,222,良
2022-01-07,113,85,91,3,62,1.3,16,218,轻度污染
2022-01-08,73,53,60,3,43,0.9,60,260,良
2022-01-09,65,47,67,3,43,0.9,26,101,良
2022-01-10,33,18,28,2,19,0.4,65,156,优
2022-01-11,33,11,25,2,26,0.4,44,19,优
2022-01-12,36,15,36,2,26,0.4,58,74,优
2022-01-13,29,11,24,2,23,0.4,52,2,优
2022-01-14,92,68,83,3,51,0.9,25,51,良
2022-01-15,59,42,57,3,30,0.6,63,322,良
2022-01-16,32,10,24,2,25,0.4,48,5,优
2022-01-17,42,17,36,2,33,0.5,54,93,优
2022-01-18,70,49,73,5,56,0.9,21,116,良
2022-01-19,79,58,79,6,41,1.2,29,196,良
2022-01-20,55,39,44,2,24,0.5,42,89,良
2022-01-21,80,59,56,3,35,0.8,32,184,良
2022-01-22,130,99,70,2,49,1.5,25,265,轻度污染
2022-01-23,160,122,75,2,46,1.5,27,275,中度污染
2022-01-24,198,148,87,2,42,1.6,30,331,中度污染
2022-01-25,92,68,64,3,23,0.8,63,315,良
2022-01-26,30,11,15,3,16,0.4,59,10,优
2022-01-27,31,14,18,3,16,0.3,61,29,优
2022-01-28,30,15,22,3,17,0.4,60,14,优
2022-01-29,31,19,28,2,22,0.5,62,153,优
2022-01-30,117,88,112,3,32,1.0,56,209,轻度污染
2022-01-31,35,8,14,2,6,0.2,69,317,优
