time_point,aqi,pm2_5,pm10,so2,no2,co,o3,rank,quality
2022-07-01,69,20,28,3,10,0.6,122,250,良
2022-07-02,106,37,52,3,14,0.7,166,282,轻度污染
2022-07-03,64,23,32,3,10,0.6,116,329,良
2022-07-04,56,19,26,3,12,0.6,107,220,良
2022-07-05,79,35,48,3,11,0.6,134,299,良
2022-07-06,56,9,15,3,10,0.4,107,133,良
2022-07-07,96,10,25,3,18,0.4,155,118,良
2022-07-08,83,17,41,3,19,0.5,139,216,良
2022-07-09,45,10,26,2,19,0.3,90,238,优
2022-07-10,62,9,19,3,11,0.4,114,63,良
2022-07-11,69,22,38,3,18,0.5,122,112,良
2022-07-12,51,14,21,3,11,0.5,101,289,良
2022-07-13,87,11,24,3,15,0.5,144,17,良
2022-07-14,82,8,20,3,16,0.3,138,245,良
2022-07-15,83,10,28,3,21,0.3,139,,良
2022-07-16,161,26,58,3,19,0.6,226,177,中度污染
2022-07-17,60,20,40,2,16,0.4,112,324,良
2022-07-18,71,8,26,2,16,0.3,125,139,良
2022-07-19,120,14,43,2,20,0.4,181,208,轻度污染
2022-07-20,108,25,54,3,17,0.5,168,325,轻度污染
2022-07-21,128,20,43,2,16,0.4,190,222,轻度污染
2022-07-22,110,27,57,2,19,0.5,171,285,轻度污染
2022-07-23,85,10,20,2,11,0.3,141,153,良
2022-07-24,136,24,46,2,16,0.5,199,199,轻度污染
2022-07-25,110,22,44,2,14,0.4,171,75,轻度污染
2022-07-26,100,31,50,2,13,0.5,160,233,良
2022-07-27,50,17,25,3,10,0.5,99,318,优
2022-07-28,51,6,10,3,10,0.4,101,83,良
2022-07-29,92,15,28,3,15,0.4,150,51,良
2022-07-30,97,35,54,3,13,0.7,156,296,良
2022-07-31,95,28,44,3,14,0.5,154,187,良
