time_point,aqi,pm2_5,pm10,so2,no2,co,o3,rank,quality
2020-10-01,60,43,47,2,28,0.6,59,160,良
2020-10-02,29,6,19,2,14,0.2,58,27,优
2020-10-03,45,20,45,5,26,0.4,69,115,优
2020-10-04,26,5,19,2,9,0.2,51,203,优
2020-10-05,29,7,21,2,21,0.3,57,11,优
2020-10-06,52,27,53,5,37,0.5,61,195,良
2020-10-07,84,62,88,5,57,0.9,65,277,良
2020-10-08,114,86,94,4,68,0.9,44,312,轻度污染
2020-10-09,144,110,108,4,69,1.0,88,318,轻度污染
2020-10-10,185,139,104,3,46,1.0,136,330,中度污染
2020-10-11,62,44,44,2,24,0.4,64,326,良
2020-10-12,34,11,31,2,27,0.3,51,4,优
2020-10-13,36,13,36,2,27,0.3,69,174,优
2020-10-14,36,10,36,4,27,0.5,40,15,优
2020-10-15,68,49,73,3,45,0.7,38,245,良
2020-10-16,35,13,25,2,28,0.3,65,326,优
2020-10-17,55,16,47,3,44,0.4,56,170,良
2020-10-18,64,28,65,4,51,0.7,60,199,良
2020-10-19,72,50,80,3,57,0.8,60,223,良
2020-10-20,155,118,121,3,77,1.0,36,293,中度污染
2020-10-21,98,38,146,3,24,0.4,61,325,良
2020-10-22,53,11,55,2,21,0.3,63,250,良
2020-10-23,38,10,32,2,30,0.3,64,10,优
2020-10-24,59,32,67,4,47,0.6,59,116,良
2020-10-25,109,82,124,6,72,1.0,64,295,轻度污染
2020-10-26,107,80,115,4,56,0.8,70,317,轻度污染
2020-10-27,47,9,47,2,26,0.3,58,92,优
2020-10-28,55,17,50,3,44,0.4,46,129,良
2020-10-29,73,35,75,3,58,0.6,36,178,良
2020-10-30,72,52,80,3,55,0.7,58,225,良
2020-10-31,136,78,222,3,53,0.6,49,246,轻度污染
