time_point,aqi,pm2_5,pm10,so2,no2,co,o3,rank,quality
2020-11-01,58,14,65,2,21,0.3,58,299,良
2020-11-02,45,6,45,2,16,0.2,58,81,优
2020-11-03,37,12,37,2,29,0.3,46,54,优
2020-11-04,77,39,81,4,61,0.7,18,176,良
2020-11-05,110,83,121,6,84,1.1,24,264,轻度污染
2020-11-06,92,68,133,3,66,0.9,62,331,良
2020-11-07,91,26,132,2,24,0.3,64,255,良
2020-11-08,44,13,44,2,31,0.3,47,22,优
2020-11-09,60,21,55,2,48,0.5,36,156,良
2020-11-10,74,38,75,4,59,0.8,29,145,良
2020-11-11,140,107,147,7,96,1.3,16,241,轻度污染
2020-11-12,110,83,107,5,66,0.9,56,329,轻度污染
2020-11-13,55,21,52,5,44,0.6,42,24,良
2020-11-14,79,48,84,3,63,0.9,9,129,良
2020-11-15,110,83,96,3,64,1.1,26,199,轻度污染
2020-11-16,134,102,113,6,68,1.5,8,295,轻度污染
2020-11-17,138,105,95,3,49,1.7,11,253,轻度污染
2020-11-18,62,44,23,2,30,1.0,44,322,良
2020-11-19,26,8,13,2,14,0.3,51,14,优
2020-11-20,29,10,21,2,23,0.3,57,5,优
2020-11-21,52,26,32,2,41,0.5,32,128,良
2020-11-22,27,7,14,2,12,0.3,53,45,优
2020-11-23,34,14,29,3,27,0.4,43,12,优
2020-11-24,59,30,48,4,47,0.6,28,182,良
2020-11-25,45,25,41,5,36,0.6,56,219,优
2020-11-26,57,19,41,4,45,0.7,32,100,良
2020-11-27,30,15,28,3,21,0.4,60,200,优
2020-11-28,30,12,25,2,24,0.3,52,20,优
2020-11-29,38,16,33,4,30,0.4,51,151,优
2020-11-30,38,17,34,4,30,0.4,47,18,优
