time_point,aqi,pm2_5,pm10,so2,no2,co,o3,rank,quality
2018-01-01,57,34,63,9,44,1.0,38,84,良
2018-01-02,50,28,50,7,33,0.8,46,57,优
2018-01-03,28,11,28,5,21,0.4,51,11,优
2018-01-04,40,15,30,4,32,0.5,39,118,优
2018-01-05,63,32,54,8,50,0.9,36,172,良
2018-01-06,48,16,30,5,38,0.5,48,131,优
2018-01-07,54,38,57,10,43,0.8,50,153,良
2018-01-08,55,12,60,4,11,0.3,61,117,良
2018-01-09,35,7,35,3,13,0.3,63,17,优
2018-01-10,32,6,21,3,9,0.3,63,20,优
2018-01-11,32,13,25,5,25,0.5,55,12,优
2018-01-12,87,61,81,11,69,1.3,21,253,良
2018-01-13,139,106,122,15,79,1.7,17,266,轻度污染
2018-01-14,176,133,137,12,71,1.7,41,292,中度污染
2018-01-15,59,32,58,8,47,0.9,42,82,良
2018-01-16,114,45,177,5,42,0.7,55,186,轻度污染
2018-01-17,77,42,104,8,49,1.0,62,82,良
2018-01-18,93,63,105,11,74,1.2,19,148,良
2018-01-19,108,81,122,13,73,1.5,36,164,轻度污染
2018-01-20,63,31,75,9,48,0.8,32,94,良
2018-01-21,64,37,77,19,44,1.2,29,97,良
2018-01-22,47,22,47,4,25,0.6,65,41,优
2018-01-23,32,11,32,4,15,0.4,60,3,优
2018-01-24,35,17,33,5,28,0.4,65,30,优
2018-01-25,33,9,23,4,26,0.4,62,62,优
2018-01-26,53,29,41,8,42,0.6,42,170,良
2018-01-27,112,84,95,14,67,1.4,14,288,轻度污染
2018-01-28,59,11,67,3,15,0.4,66,133,良
2018-01-29,56,8,61,3,20,0.4,67,103,良
2018-01-30,36,11,36,6,24,0.4,68,15,优
2018-01-31,62,22,74,7,29,0.5,65,96,良
