time_point,aqi,pm2_5,pm10,so2,no2,co,o3,rank,quality
2019-02-01,68,42,85,7,49,0.9,54,157,良
2019-02-02,142,108,137,8,55,1.4,29,329,轻度污染
2019-02-03,104,40,157,3,14,0.4,77,250,轻度污染
2019-02-04,78,46,106,6,27,0.8,58,170,良
2019-02-05,139,97,227,10,26,0.9,49,171,轻度污染
2019-02-06,78,53,105,14,22,1.1,57,185,良
2019-02-07,35,8,29,3,11,0.4,69,38,优
2019-02-08,46,25,46,6,18,0.5,64,87,优
2019-02-09,32,9,21,4,13,0.3,63,91,优
2019-02-10,39,27,39,6,24,0.5,52,123,优
2019-02-11,51,35,51,8,30,0.7,67,138,良
2019-02-12,52,30,54,7,25,0.8,52,16,良
2019-02-13,38,23,38,3,23,0.6,69,64,优
2019-02-14,72,52,60,5,32,0.9,47,241,良
2019-02-15,35,8,21,3,10,0.3,70,59,优
2019-02-16,38,8,19,3,13,0.3,75,64,优
2019-02-17,36,14,25,4,25,0.4,71,64,优
2019-02-18,59,31,42,7,47,0.7,45,203,良
2019-02-19,118,89,89,5,37,1.0,67,270,轻度污染
2019-02-20,64,46,39,5,32,0.6,74,136,良
2019-02-21,129,98,63,5,53,1.2,81,269,轻度污染
2019-02-22,132,100,85,6,61,1.3,60,286,轻度污染
2019-02-23,180,136,74,9,66,1.6,93,320,中度污染
2019-02-24,104,78,41,6,49,1.0,77,236,轻度污染
2019-02-25,70,51,75,9,49,1.0,67,223,良
2019-02-26,73,52,79,10,58,0.9,58,183,良
2019-02-27,120,91,106,8,60,1.1,76,285,轻度污染
2019-02-28,109,82,102,7,55,1.0,87,271,轻度污染
