time_point,aqi,pm2_5,pm10,so2,no2,co,o3,rank,quality
2018-03-01,50,17,50,4,17,0.3,80,70,优
2018-03-02,103,77,103,18,51,1.0,65,301,轻度污染
2018-03-03,215,165,189,18,72,1.8,52,333,重度污染
2018-03-04,124,57,198,7,35,0.8,46,324,轻度污染
2018-03-05,90,48,130,9,41,0.8,65,318,良
2018-03-06,64,46,65,10,38,0.9,64,235,良
2018-03-07,65,47,64,8,47,0.7,44,222,良
2018-03-08,61,43,72,6,34,0.7,70,189,良
2018-03-09,135,103,106,12,66,1.2,73,319,轻度污染
2018-03-10,153,117,125,14,58,1.4,101,316,中度污染
2018-03-11,84,62,69,16,45,1.3,59,210,良
2018-03-12,189,142,137,10,69,1.6,84,322,中度污染
2018-03-13,283,233,189,10,92,2.0,139,334,重度污染
2018-03-14,276,226,176,16,73,2.4,78,337,重度污染
2018-03-15,61,20,72,3,16,0.4,87,180,良
2018-03-16,55,32,60,7,28,0.5,87,151,良
2018-03-17,83,61,60,4,57,0.9,27,291,良
2018-03-18,135,103,71,3,51,0.9,81,326,轻度污染
2018-03-19,93,69,59,4,43,0.8,88,276,良
2018-03-20,40,23,39,4,32,0.5,80,72,优
2018-03-21,79,58,82,8,51,0.8,68,285,良
2018-03-22,110,83,100,7,61,0.9,88,316,轻度污染
2018-03-23,138,105,126,10,82,1.3,59,308,轻度污染
2018-03-24,117,88,99,9,58,1.1,108,296,轻度污染
2018-03-25,74,54,89,7,54,0.6,117,155,良
2018-03-26,150,115,133,12,70,1.0,129,329,轻度污染
2018-03-27,233,183,182,11,94,1.3,109,334,重度污染
2018-03-28,0,0,0,6,47,0.8,69,1,无
2018-03-29,107,37,164,12,42,0.8,80,305,轻度污染
2018-03-30,66,39,81,7,50,0.6,96,132,良
2018-03-31,128,97,146,12,77,1.0,110,310,轻度污染
